Asset Combination,Confidence Level,Method,Breach Rate,Expected Breach Rate,Breach Ratio,Kupiec p-value,Christoffersen p-value,Avg Computation Time (s)
"AUDUSD1440, USDJPY1440",99%,Quantum VaR,0.005702436495593572,0.010000000000000009,0.5702436495593567,0.03429717436919377,0.7223632555407346,1.7245046
"EURUSD1440, GBPUSD1440",95%,Historical Simulation VaR,0.05080352514256091,0.050000000000000044,1.0160705028512174,0.0014992199185821509,0.03456625211313824,0.0001435
"EURUSD1440, GBPUSD1440",95%,Parametric (Variance-Covariance) VaR,0.04302747537584241,0.050000000000000044,0.8605495075168474,0.0011415720293392884,0.03279914091356417,0.0001721
"EURUSD1440, GBPUSD1440",95%,Monte Carlo VaR,0.04613789528252981,0.050000000000000044,0.9227579056505953,0.0017919373620693957,0.026536242165104307,0.037033
"EURUSD1440, GBPUSD1440",95%,Quantum VaR,0.006220839813374806,0.050000000000000044,0.12441679626749601,0,2.3508905989233497e-05,1.3360272
"EURUSD1440, GBPUSD1440",99%,Historical Simulation VaR,0.011923276308968377,0.010000000000000009,1.1923276308968367,0.28538466924848116,0.0019611966534311964,0.000169
"EURUSD1440, GBPUSD1440",99%,Parametric (Variance-Covariance) VaR,0.012960082944530845,0.010000000000000009,1.2960082944530833,0.1508082368849799,0.003351917893976708,0.0002974
"EURUSD1440, GBPUSD1440",99%,Monte Carlo VaR,0.01088646967340591,0.010000000000000009,1.08864696734059,0.4498850746973678,0.0010835149443243486,0.037201
"EURUSD1440, GBPUSD1440",99%,Quantum VaR,0.006220839813374806,0.010000000000000009,0.62208398133748,0.06299680620962977,2.3508905989233497e-05,1.4033569
"EURUSD1440, USDJPY1440",95%,Historical Simulation VaR,0.04872991187143598,0.050000000000000044,0.9745982374287188,0.0018334966251047913,0.5046343130424569,0.0001921
"EURUSD1440, USDJPY1440",95%,Parametric (Variance-Covariance) VaR,0.04250907205806117,0.050000000000000044,0.8501814411612226,0.0010108195474167747,0.7790517544190811,0.0001761
"EURUSD1440, USDJPY1440",95%,Monte Carlo VaR,0.04510108864696734,0.050000000000000044,0.9020217729393459,0.0016248387966980582,0.9688173649988316,0.037627
"EURUSD1440, USDJPY1440",95%,Quantum VaR,0.006220839813374806,0.050000000000000044,0.12441679626749601,0,0.698235340155497,1.4848582
"EURUSD1440, USDJPY1440",99%,Historical Simulation VaR,0.01088646967340591,0.010000000000000009,1.08864696734059,0.4498850746973678,0.49645050401901936,0.0001789
